"Step","resnet50_224_aug - loss","resnet50_224_aug - loss__MIN","resnet50_224_aug - loss__MAX","resnet18_224 - loss","resnet18_224 - loss__MIN","resnet18_224 - loss__MAX","resnet50_32_aug_3x3_relu - loss","resnet50_32_aug_3x3_relu - loss__MIN","resnet50_32_aug_3x3_relu - loss__MAX","resnet18_32_aug_3x3 - loss","resnet18_32_aug_3x3 - loss__MIN","resnet18_32_aug_3x3 - loss__MAX","resnet50_224 - loss","resnet50_224 - loss__MIN","resnet50_224 - loss__MAX","resnet50_32_aug_3x3 - loss","resnet50_32_aug_3x3 - loss__MIN","resnet50_32_aug_3x3 - loss__MAX"
"47","0.0022630549698509275","0.0022630549698509275","0.0022630549698509275","0.00016310865627601741","0.00016310865627601741","0.00016310865627601741","0.024532097424268724","0.024532097424268724","0.024532097424268724","0.08252294807434082","0.08252294807434082","0.08252294807434082","0.00009070798154454678","0.00009070798154454678","0.00009070798154454678","0.018405761309862136","0.018405761309862136","0.018405761309862136"
"48","0.0033236525321938097","0.0033236525321938097","0.0033236525321938097","0.00015813107936643063","0.00015813107936643063","0.00015813107936643063","0.022770377123504878","0.022770377123504878","0.022770377123504878","0.0741054739356041","0.0741054739356041","0.0741054739356041","0.0000914327326323837","0.0000914327326323837","0.0000914327326323837","0.017429647728949785","0.017429647728949785","0.017429647728949785"
"49","0.003483431955361739","0.003483431955361739","0.003483431955361739","0.00015963270977139473","0.00015963270977139473","0.00015963270977139473","0.024727829711139203","0.024727829711139203","0.024727829711139203","0.07225075316905975","0.07225075316905975","0.07225075316905975","0.00009729578118771315","0.00009729578118771315","0.00009729578118771315","0.01683016205497086","0.01683016205497086","0.01683016205497086"
"50","0.0036840032861195503","0.0036840032861195503","0.0036840032861195503","0.00016532621200894936","0.00016532621200894936","0.00016532621200894936","0.02402733596339822","0.02402733596339822","0.02402733596339822","0.07307155646443367","0.07307155646443367","0.07307155646443367","0.00008298165437765419","0.00008298165437765419","0.00008298165437765419","0.017006394605785607","0.017006394605785607","0.017006394605785607"
"51","0.0020980570404604076","0.0020980570404604076","0.0020980570404604076","0.00016843443059362471","0.00016843443059362471","0.00016843443059362471","0.020658224966973067","0.020658224966973067","0.020658224966973067","0.06755398076295853","0.06755398076295853","0.06755398076295853","0.00007665624126559124","0.00007665624126559124","0.00007665624126559124","0.016714194608926772","0.016714194608926772","0.016714194608926772"
"52","0.0028935120437480507","0.0028935120437480507","0.0028935120437480507","0.00015136456738691777","0.00015136456738691777","0.00015136456738691777","0.021570407030731438","0.021570407030731438","0.021570407030731438","0.06451820108652115","0.06451820108652115","0.06451820108652115","0.00007208152604289353","0.00007208152604289353","0.00007208152604289353","0.015950097031146287","0.015950097031146287","0.015950097031146287"
"53","0.0031553154701832683","0.0031553154701832683","0.0031553154701832683","0.00014898563040187583","0.00014898563040187583","0.00014898563040187583","0.01747581558868289","0.01747581558868289","0.01747581558868289","0.06756876656055451","0.06756876656055451","0.06756876656055451","0.00007964713073335588","0.00007964713073335588","0.00007964713073335588","0.014872072871327401","0.014872072871327401","0.014872072871327401"
"54","0.0022115136292157694","0.0022115136292157694","0.0022115136292157694","0.00015390125867677853","0.00015390125867677853","0.00015390125867677853","0.017166219697147607","0.017166219697147607","0.017166219697147607","0.0625158454155922","0.0625158454155922","0.0625158454155922","0.00006411884538130834","0.00006411884538130834","0.00006411884538130834","0.01519891979843378","0.01519891979843378","0.01519891979843378"
"55","0.002460023382427171","0.002460023382427171","0.002460023382427171","0.00015415577174164355","0.00015415577174164355","0.00015415577174164355","0.01772599538937211","0.01772599538937211","0.01772599538937211","0.06050007426381111","0.06050007426381111","0.06050007426381111","0.00006355754448566585","0.00006355754448566585","0.00006355754448566585","0.013325952255725861","0.013325952255725861","0.013325952255725861"
"56","0.0031599408189905806","0.0031599408189905806","0.0031599408189905806","0.00015217688228935002","0.00015217688228935002","0.00015217688228935002","0.017657344862371683","0.017657344862371683","0.017657344862371683","0.057467684057950975","0.057467684057950975","0.057467684057950975","0.00007110009662923403","0.00007110009662923403","0.00007110009662923403","0.014107435627877711","0.014107435627877711","0.014107435627877711"
